path,label
./data/가_0.jpeg,가
./data/가_1.jpeg,가
./data/가_10.jpeg,가
./data/가_11.jpeg,가
./data/가_12.jpeg,가
./data/가_13.jpeg,가
./data/가_14.jpeg,가
./data/가_15.jpeg,가
./data/가_16.jpeg,가
./data/가_17.jpeg,가
./data/가_18.jpeg,가
./data/가_19.jpeg,가
./data/가_2.jpeg,가
./data/가_3.jpeg,가
./data/가_4.jpeg,가
./data/가_5.jpeg,가
./data/가_6.jpeg,가
./data/가_7.jpeg,가
./data/가_8.jpeg,가
./data/가_9.jpeg,가
./data/각_0.jpeg,각
./data/각_1.jpeg,각
./data/각_10.jpeg,각
./data/각_11.jpeg,각
./data/각_12.jpeg,각
./data/각_13.jpeg,각
./data/각_14.jpeg,각
./data/각_15.jpeg,각
./data/각_16.jpeg,각
./data/각_17.jpeg,각
./data/각_18.jpeg,각
./data/각_19.jpeg,각
./data/각_2.jpeg,각
./data/각_3.jpeg,각
./data/각_4.jpeg,각
./data/각_5.jpeg,각
./data/각_6.jpeg,각
./data/각_7.jpeg,각
./data/각_8.jpeg,각
./data/각_9.jpeg,각
./data/간_0.jpeg,간
./data/간_1.jpeg,간
./data/간_10.jpeg,간
./data/간_11.jpeg,간
./data/간_12.jpeg,간
./data/간_13.jpeg,간
./data/간_14.jpeg,간
./data/간_15.jpeg,간
./data/간_16.jpeg,간
./data/간_17.jpeg,간
./data/간_18.jpeg,간
./data/간_19.jpeg,간
./data/간_2.jpeg,간
./data/간_3.jpeg,간
./data/간_4.jpeg,간
./data/간_5.jpeg,간
./data/간_6.jpeg,간
./data/간_7.jpeg,간
./data/간_8.jpeg,간
./data/간_9.jpeg,간
./data/갇_0.jpeg,갇
./data/갇_1.jpeg,갇
./data/갇_10.jpeg,갇
./data/갇_11.jpeg,갇
./data/갇_12.jpeg,갇
./data/갇_13.jpeg,갇
./data/갇_14.jpeg,갇
./data/갇_15.jpeg,갇
./data/갇_16.jpeg,갇
./data/갇_17.jpeg,갇
./data/갇_18.jpeg,갇
./data/갇_19.jpeg,갇
./data/갇_2.jpeg,갇
./data/갇_3.jpeg,갇
./data/갇_4.jpeg,갇
./data/갇_5.jpeg,갇
./data/갇_6.jpeg,갇
./data/갇_7.jpeg,갇
./data/갇_8.jpeg,갇
./data/갇_9.jpeg,갇
./data/갈_0.jpeg,갈
./data/갈_1.jpeg,갈
./data/갈_10.jpeg,갈
./data/갈_11.jpeg,갈
./data/갈_12.jpeg,갈
./data/갈_13.jpeg,갈
./data/갈_14.jpeg,갈
./data/갈_15.jpeg,갈
./data/갈_16.jpeg,갈
./data/갈_17.jpeg,갈
./data/갈_18.jpeg,갈
